observation_date,ISLPRINTO01GYSAM
1999-01-01,2.7055655454348577
1999-02-01,5.0106810448996164
1999-03-01,4.8364279669509855
1999-04-01,4.9839232878882065
1999-05-01,3.9410475259325688
1999-06-01,2.6276568140458698
1999-07-01,-0.4643487407654005
1999-08-01,-3.8860286738108791
1999-09-01,-0.4221908814437441
1999-10-01,3.2867091383752327
1999-11-01,8.7748176528485509
1999-12-01,13.8816753599647154
2000-01-01,10.0844817354160128
2000-02-01,5.1013443781330681
2000-03-01,3.3692135994602865
2000-04-01,2.3006796757262182
2000-05-01,3.3150207570197425
2000-06-01,4.0194575178724188
2000-07-01,8.1218794345991672
2000-08-01,12.7458427643616243
2000-09-01,9.0662677253466057
2000-10-01,5.8549850245086077
2000-11-01,5.1633423633355182
2000-12-01,4.4061611373789971
2001-01-01,8.8279321361981982
2001-02-01,14.3315669722965513
2001-03-01,14.7829742011143672
2001-04-01,15.4151979572344580
2001-05-01,15.1662473904961992
2001-06-01,14.7914300605199198
2001-07-01,20.7070848651692003
2001-08-01,26.9798849415188471
2001-09-01,25.9437047495477664
2001-10-01,25.1813245266947163
2001-11-01,19.5297294902747254
2001-12-01,14.1098923272659036
2002-01-01,18.1519037509927124
2002-02-01,22.1911479722192482
2002-03-01,16.5449255047663932
2002-04-01,11.9507782099440565
2002-05-01,7.2714775075590339
2002-06-01,2.8425077588898726
2002-07-01,-2.0662632489109645
2002-08-01,-6.5573245754437970
2002-09-01,-3.6555723279129606
2002-10-01,-0.5727387608711395
2002-11-01,-0.7803054342502607
2002-12-01,-0.7480201725178839
2003-01-01,-4.1896038831884646
2003-02-01,-8.3850257823284231
2003-03-01,-7.2693307785917396
2003-04-01,-6.5856843136137631
2003-05-01,-3.5438313597523696
2003-06-01,-0.1220486887824057
2003-07-01,-1.2690145866450295
2003-08-01,-1.8653829573771892
2003-09-01,-1.8923765750092920
2003-10-01,-1.9111268541152189
2003-11-01,-1.5006618332902522
2003-12-01,-0.8591461655982102
2004-01-01,0.6031975910726625
2004-02-01,1.5219121422112740
2004-03-01,8.5912678238998303
2004-04-01,14.0136050240301504
2004-05-01,12.5819642429924237
2004-06-01,11.7379469896597843
2004-07-01,9.2299226563390260
2004-08-01,7.3055840681553201
2004-09-01,7.8813315077252479
2004-10-01,8.3647934341712062
2004-11-01,11.0217923245100682
2004-12-01,13.8525101725523019
2005-01-01,10.9801807675369112
2005-02-01,6.4932116215419269
2005-03-01,3.7979925089167650
2005-04-01,1.0112426560576739
2005-05-01,4.1435151501223952
2005-06-01,7.6744877825626592
2005-07-01,10.7217936174342157
2005-08-01,14.9142787071642395
2005-09-01,15.7433756251834307
2005-10-01,16.3128159029826243
2005-11-01,23.7962895076378764
2005-12-01,30.3041187583334128
2006-01-01,20.9218503690257265
2006-02-01,7.3114635128165100
2006-03-01,16.1424495550389082
2006-04-01,22.5327018839655295
2006-05-01,25.2213463711971571
2006-06-01,28.1683043746611936
2006-07-01,31.5272781260666797
2006-08-01,35.3716564194987555
2006-09-01,20.9548740105367663
2006-10-01,7.8928475250189294
2006-11-01,0.7090351620393790
2006-12-01,-5.9733314646039810
2007-01-01,8.0736827918045080
2007-02-01,28.2997503725638708
2007-03-01,16.2193511728883912
2007-04-01,7.1046292078530415
2007-05-01,0.8314310139035833
2007-06-01,-4.7622602629534665
2007-07-01,-9.8244440764073087
2007-08-01,-14.6760577739652156
2007-09-01,-7.5067141852701633
2007-10-01,0.6231487141463006
2007-11-01,0.1231390291619334
2007-12-01,-1.0426990417980142
2008-01-01,3.9603619944962478
2008-02-01,9.1863326342608449
2008-03-01,18.8608974299105689
2008-04-01,27.1514275726430050
2008-05-01,29.2169713944496721
2008-06-01,31.8275817268434871
2008-07-01,37.9129237984733152
2008-08-01,44.3211603378578829
2008-09-01,51.3843086382137955
2008-10-01,58.2424950579080729
2008-11-01,57.2210124059492173
2008-12-01,55.7633375492059713
2009-01-01,30.4784438339709283
2009-02-01,5.3886830352715727
2009-03-01,0.8498180544815459
2009-04-01,-1.8172691991479697
2009-05-01,0.2281323533920605
2009-06-01,2.8292786846436115
2009-07-01,5.0251340780349611
2009-08-01,7.0767672940380084
2009-09-01,1.8214026428531016
2009-10-01,-2.5953485065513178
2009-11-01,0.6082167852751852
2009-12-01,3.5508940944792369
2010-01-01,13.9302665003552235
2010-02-01,27.5416606061163947
2010-03-01,27.1133497017200007
2010-04-01,28.5016042780079992
2010-05-01,23.6663116675509677
2010-06-01,20.1381172361454830
2010-07-01,9.9701858885970402
2010-08-01,0.1894181852571355
2010-09-01,0.6482605230287368
2010-10-01,1.3564302152301830
2010-11-01,4.7821824888808164
2010-12-01,8.3960589897659297
2011-01-01,6.7749789286882161
2011-02-01,8.4684664678067776
2011-03-01,4.2642543605017238
2011-04-01,2.3264186552513419
2011-05-01,9.3961436619761507
2011-06-01,16.8366230613317533
2011-07-01,19.0013356627614201
2011-08-01,21.3856773455209002
2011-09-01,19.9442266198396467
2011-10-01,18.9299296730813857
2011-11-01,12.1744103328910640
2011-12-01,6.4033085683629691
2012-01-01,9.7717405398147434
2012-02-01,14.6754504248508439
2012-03-01,17.8750407412994505
2012-04-01,21.8191464610228145
2012-05-01,8.3997754250022734
2012-06-01,-3.1614123785545440
2012-07-01,-2.7642619488294282
2012-08-01,-2.4405381661995427
2012-09-01,2.1981341612928857
2012-10-01,6.6208282625402077
2012-11-01,-2.3865043760909264
2012-12-01,-11.0716852078752463
2013-01-01,-4.3452352311969911
2013-02-01,3.5956796288392807
2013-03-01,-6.3394555948006754
2013-04-01,-14.3320455418828168
2013-05-01,-10.1952290756813966
2013-06-01,-6.0278695005708753
2013-07-01,-4.1886188879018924
2013-08-01,-2.2538848999405370
2013-09-01,-4.8505354042798734
2013-10-01,-6.9360317739562500
2013-11-01,0.7803325752267046
2013-12-01,10.4265887292882784
2014-01-01,-2.4503233446288042
2014-02-01,-14.0209846501835198
2014-03-01,-9.7251088587360446
2014-04-01,-5.8163052160981401
2014-05-01,-3.2675121687289641
2014-06-01,-1.4580531067531550
2014-07-01,1.7359600867135712
2014-08-01,5.0457610436410585
2014-09-01,8.4560637040185167
2014-10-01,11.4718241272271708
2014-11-01,10.8445295987267301
2014-12-01,10.8418481418025898
2015-01-01,12.8980943375644515
2015-02-01,15.9539261508830315
2015-03-01,22.5462603591686879
2015-04-01,27.3789740234160348
2015-05-01,24.7832351838186966
2015-06-01,21.5558399066656854
2015-07-01,12.0622162434345448
2015-08-01,2.7792493982393056
2015-09-01,-3.1283410992040830
2015-10-01,-8.2006782971682561
2015-11-01,-4.0336220109633159
2015-12-01,0.6840741247649145
2016-01-01,-4.6337395158023629
2016-02-01,-10.5094575502529217
2016-03-01,-14.2670311143551807
2016-04-01,-18.2669268495018464
2016-05-01,-15.2529618420161803
2016-06-01,-12.7583487253940344
2016-07-01,-6.3107261164936883
2016-08-01,1.3277109770330977
2016-09-01,-1.5599405101513983
2016-10-01,-4.5733189084985133
2016-11-01,-7.9083681882537311
2016-12-01,-10.6412860055937717
2017-01-01,-8.2754060399603233
2017-02-01,-5.0626563534077711
2017-03-01,-1.3709743737488391
2017-04-01,1.3845689637612484
2017-05-01,-3.2664886663086765
2017-06-01,-7.5432021670622733
2017-07-01,-2.5162168223835368
