observation_date,FINPRINTO01GPSAM
1958-02-01,-0.9599999999984730
1958-03-01,-2.1001615508890499
1958-04-01,1.4851485148515100
1958-05-01,-0.3252032520320030
1958-06-01,-0.6525285481245200
1958-07-01,-0.3284072249584050
1958-08-01,1.6474464579898400
1958-09-01,0.6482982171796660
1958-10-01,1.2882447665051300
1958-11-01,2.5437201907795499
1958-12-01,-3.1007751937994801
1959-01-01,0.3200000000010310
1959-02-01,1.7543859649117799
1959-03-01,2.9780564263328402
1959-04-01,-0.9132420091316870
1959-05-01,5.2227342549905797
1959-06-01,-2.6277372262767100
1959-07-01,1.3493253373313401
1959-08-01,1.6272189349115100
1959-09-01,0.8733624454148490
1959-10-01,1.4430014430012199
1959-11-01,0.8534850640113940
1959-12-01,1.4104372355434800
1960-01-01,0.5563282336569660
1960-02-01,0.4149377593361200
1960-03-01,2.0661157024793702
1960-04-01,1.4844804318497200
1960-05-01,0.2659574468087290
1960-06-01,2.2546419098132602
1960-07-01,0.5188067444880980
1960-08-01,-4.2580645161290596
1960-09-01,4.1778975741244597
1960-10-01,0.7761966364806080
1960-11-01,1.1553273427465001
1960-12-01,1.7766497461937401
1961-01-01,0.9975062344141690
1961-02-01,1.3580246913570400
1961-03-01,1.7052375152255601
1961-04-01,-1.5568862275441600
1961-05-01,1.8248175182481901
1961-06-01,1.1947431302274001
1961-07-01,2.4793388429746401
1961-08-01,-1.2672811059909801
1961-09-01,-1.1668611435231699
1961-10-01,0.7083825265632000
1961-11-01,2.4618991793675402
1961-12-01,-0.1144164759723560
1962-01-01,1.9473081328753401
1962-02-01,-0.3370786516859400
1962-03-01,-1.1273957158966399
1962-04-01,4.4469783352343502
1962-05-01,-1.6375545851528499
1962-06-01,-0.6659267480582650
1962-07-01,-1.0055865921782301
1962-08-01,1.0158013544012701
1962-09-01,2.5698324022348502
1962-10-01,-1.6339869281040700
1962-11-01,1.3289036544845301
1962-12-01,1.5300546448089301
1963-01-01,-0.9687836383202700
1963-02-01,-0.5434782608702560
1963-03-01,-4.6994535519124492
1963-04-01,6.1926605504593297
1963-05-01,1.2958963282932301
1963-06-01,4.2643923240936799
1963-07-01,-4.6012269938650707
1963-08-01,2.1436227224015800
1963-09-01,0.9443861490026521
1963-10-01,2.1829521829526999
1963-11-01,-1.5259409969481299
1963-12-01,1.3429752066109100
1964-01-01,-2.0892861353352101
1964-02-01,0.2614379084956650
1964-03-01,2.6727509778364800
1964-04-01,-1.2857142857149599
1964-05-01,1.7366136034736599
1964-06-01,-0.0474158368898192
1964-07-01,2.2928526249209402
1964-08-01,0.3555418148090790
1964-09-01,0.1848428835491860
1964-10-01,1.3222632226325799
1964-11-01,-0.1213960546282090
1964-12-01,0.0911577028255284
1965-01-01,1.2295081967215000
1965-02-01,0.9146798620482950
1965-03-01,-1.2630014858840399
1965-04-01,2.2422874341612400
1965-05-01,0.3532528701790440
1965-06-01,3.2414197711939199
1965-07-01,-0.9092200596674040
1965-08-01,-0.1433691756271060
1965-09-01,0.3589375448670880
1965-10-01,-2.6037195994278202
1965-11-01,0.9253819036426640
1965-12-01,0.1309853005384110
1966-01-01,-1.0901162790693999
