observation_date,DEUPRINTO01GYSAM
1959-01-01,2.2203898496685501
1959-02-01,2.0682330313605202
1959-03-01,1.5053404539139099
1959-04-01,4.5521017104780803
1959-05-01,7.5558782472848796
1959-06-01,5.7145465326656097
1959-07-01,6.0054932817071602
1959-08-01,8.1516449290642399
1959-09-01,9.7471146406223497
1959-10-01,13.9168361444748001
1959-11-01,10.2507669735385996
1959-12-01,10.2600179760878003
1960-01-01,13.0629809061905000
1960-02-01,12.1028923661663992
1960-03-01,12.4963380098323995
1960-04-01,15.3001898421478995
1960-05-01,9.3454941994683498
1960-06-01,10.4809942651981007
1960-07-01,16.2226920367456984
1960-08-01,7.6183689867026301
1960-09-01,11.0250348482726004
1960-10-01,9.2896770362699108
1960-11-01,9.4923811559247007
1960-12-01,10.5708733432770003
1961-01-01,10.2491711629992004
1961-02-01,11.5492603611115001
1961-03-01,11.0433266931348992
1961-04-01,8.5624602346001701
1961-05-01,7.6068454398287004
1961-06-01,7.0536579810313693
1961-07-01,5.1762770444879100
1961-08-01,6.4290046498404596
1961-09-01,5.4949507743177399
1961-10-01,2.4878724672751300
1961-11-01,3.5961002775220399
1961-12-01,4.4449300131081104
1962-01-01,7.5561700563080194
1962-02-01,6.7193682167699693
1962-03-01,5.7057501987751298
1962-04-01,4.1235336306453299
1962-05-01,9.6803007349234296
1962-06-01,9.6743560035584402
1962-07-01,7.8685213823850093
1962-08-01,13.3892532490137004
1962-09-01,9.8266781840408797
1962-10-01,8.8416570080738897
1962-11-01,10.7653002894042000
1962-12-01,5.5564128314149697
1963-01-01,1.5267175572521301
1963-02-01,0.5736137667304190
1963-03-01,3.0592734225619602
1963-04-01,5.6310679611649697
1963-05-01,3.2015065913370200
1963-06-01,2.2598870056497402
1963-07-01,3.7593984962405198
1963-08-01,3.0630630630632800
1963-09-01,2.5830258302582201
1963-10-01,6.0037523452156796
1963-11-01,4.5955882352942492
1963-12-01,4.1509433962265501
1964-01-01,8.6466165413532092
1964-02-01,12.5475285171100008
1964-03-01,7.9777365491652708
1964-04-01,7.1691176470591600
1964-05-01,6.2043795620439397
1964-06-01,9.0239410681398216
1964-07-01,9.4202898550726211
1964-08-01,4.7202797202794597
1964-09-01,7.9136690647481505
1964-10-01,7.6106194690267008
1964-11-01,6.6783831282952093
1964-12-01,11.2318840579709995
1965-01-01,8.6505190311418492
1965-02-01,5.2364864864866201
1965-03-01,6.8728522336768201
1965-04-01,7.2041166380786708
1965-05-01,7.3883161512026092
1965-06-01,4.7297297297298497
1965-07-01,3.1456953642382501
1965-08-01,5.0083472454090403
1965-09-01,5.6666666666667798
1965-10-01,3.7828947368420600
1965-11-01,3.2948929159801499
1965-12-01,4.5602605863190897
1966-01-01,1.4331210191083099
1966-02-01,2.4077046548954200
1966-03-01,4.6623794212220702
1966-04-01,2.3999999999999999
1966-05-01,1.9200000000000099
1966-06-01,4.0322580645162400
1966-07-01,2.4077046548954200
1966-08-01,0.1589825119237660
1966-09-01,0.0000000000000000
1966-10-01,-0.7923930269412960
1966-11-01,-1.4354066985643299
1966-12-01,-3.5825545171336399
1967-01-01,-4.5525902668759297
1967-02-01,-5.7993730407522301
1967-03-01,-8.2949308755763198
1967-04-01,-6.0937500000000400
1967-05-01,-7.0643642072214092
1967-06-01,-6.2015503875970097
1967-07-01,-2.6645768025077698
1967-08-01,-3.4920634920636000
1967-09-01,-1.5772870662461500
1967-10-01,0.7987220447283730
1967-11-01,3.0744336569577602
1967-12-01,8.8852988691436394
1968-01-01,2.1381578947366799
1968-02-01,5.6572379367721997
1968-03-01,7.7051926298159010
1968-04-01,7.3211314475875904
1968-05-01,11.8243243243245004
1968-06-01,11.2396694214875996
1968-07-01,6.9243156199682003
1968-08-01,16.6118421052632002
1968-09-01,11.8589743589741001
1968-10-01,10.9350237717909007
1968-11-01,13.6577708006280005
1968-12-01,6.8249258160236099
1969-01-01,17.2302737520132005
1969-02-01,15.2755905511810006
1969-03-01,15.0855365474338008
1969-04-01,15.5038759689921992
