dataset,better_mean_test,hc_mean_test,hc_std_test,mark_mean_test,mark_std_test,hc_test_wins,mark_test_wins,ties,hc_mean_train,hc_std_train,mark_mean_train,mark_std_train,hc_mean_runtime_s,hc_std_runtime_s,mark_mean_runtime_s,mark_std_runtime_s
FRED_16country_monthly,hc_predictor,1.0917071383705796,0.08406388834266275,1.0969603281777083,0.0692398842357769,9,7,0,0.9935424885973724,0.10286268343571474,0.9004487110539423,0.05977907756416004,237.77597422897816,81.51109189692255,16.436998933553696,3.330038349896239
FRED_16country_quarterly,hc_predictor,1.1491930340666272,0.17201561694929818,1.175645298391997,0.1276873942400111,9,7,0,0.9973364453739211,0.12394144271202141,0.8485163552017565,0.06248688908990324,291.3698680996895,165.90212917985474,31.29719167947769,4.09616998824671
FRED_9country_monthly,mark,1.0590448193027437,0.06370396626998327,1.0015915551574766,0.0273749294341063,1,8,0,1.0492930746204605,0.05853679718341538,0.9265585423415702,0.03979673226523668,148.55903055932788,70.49423992500981,17.79925849702623,2.912062412557073
FRED_9country_quarterly,mark,1.0882640669123875,0.08369195842271185,1.0003054821950905,0.04075476905994807,1,8,0,1.060006380305458,0.061910903678124934,0.8434597856398677,0.0546921068655505,132.10220540894403,56.26337118184074,15.7242751121521,1.4455769374357397
