problem_file,target,mark_with_cc,hc_predictor_ce_shielded,hc_predictor
industry_eu_aut,AUT,1.1612968251707818,1.02254057605857,1.426203187714324
industry_eu_bel,BEL,1.2065257146256256,1.1886158899787702,1.190872150739014
industry_eu_deu,DEU,1.3314235626521271,1.134610164819124,1.54535940429993
industry_eu_esp,ESP,1.1549390471657202,1.1341952754908136,1.13437236903125
industry_eu_est,EST,1.2511702700338871,1.111751035222902,1.0559505050600528
industry_eu_fin,FIN,1.202037578319587,1.559078876851821,1.2129387771115898
industry_eu_fra,FRA,1.0995296872790834,0.9708553558858628,1.055254912455668
industry_eu_grc,GRC,1.567727440838283,1.3796218648374967,1.650160809191885
industry_eu_irl,IRL,1.3391081823353486,1.2975597010246698,1.3876798320919428
