date,AUT,BEL,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE
2001-01-01,-1.6932287510129147,13.329365475073615,11.317411534034093,6.226429000474933,5.797807473208571,-0.5479549042082844,9.503753256148448,0.0069268243275400305,0.22554192324013567,0.16740227362126434,-0.6253862759633932,-1.3229239492429032,31.46584440227713,12.647491103203038,1.92904604338183,9.968356425655383,9.92989517030565,12.106774668697433,1.0154806009966768,-5.176044863202733,-0.9888171725507363,3.4874019571419157,-0.20627492793112356,7.282522327650521,0.11681440252881499
2001-04-01,-0.541215497219338,5.392411261270411,9.437550786784838,1.4653150525910803,0.7342599642704605,0.2555742889286786,5.489473975578253,-1.2244091913664505,-0.27438502253517066,0.10009666597023233,-5.445588305798736,0.1351392606555534,11.40090412142338,15.124291802750193,-1.1773386957244614,16.468054178729272,3.8460109263924793,12.2408121424376,-0.33157528482832355,-5.777247158171193,-0.6591638698380909,3.8571126241177804,0.9380735468199504,2.9129889056122096,-0.5018946061341946
2001-07-01,0.27714636588409564,2.359779104591752,4.16532020193332,-1.1885939964356418,2.2718965339567,-0.16558679015618005,9.134651102782383,0.4712121278441755,-0.12127194421873022,0.035028834473497326,-5.0549037992615675,-0.4156016177668338,6.706067190154069,24.54355818541194,-2.2477475720222233,5.023535969859713,3.4044326643467464,11.288849604842293,1.2783413543550946,-5.061019353145951,0.47702471808292995,-0.28131139856838505,-0.7054146091579531,3.0207092891420797,0.27952633459120135
2001-10-01,0.23295390203349,-2.754795254583217,2.3914919600257103,-4.296766060484603,0.60057057549625,-0.7784880680293492,10.762381503622967,-1.6431518683064008,-0.39873823995096763,-0.297191016051779,-6.755906180642711,0.7568272445572851,-1.0588168278740833,19.606982114745115,-5.582882469699446,22.754680104404667,3.5667139426663326,6.965301990027544,-0.37492922416042457,-2.36712704252332,0.13353271221842325,-0.09709877175102595,-1.1951510149684488,1.2189853068391423,0.07708917506314598
2002-01-01,-0.7583624474954503,-1.9018628503896566,-0.32982662644990995,-4.149709057587644,-0.46299709163095343,0.1740343863721897,2.799711092340217,2.52514483221672,0.276144828290407,0.5007344690060187,-3.9414745371033586,1.6924208570168637,3.569275227282764,18.962659075992786,-3.2547951863105333,1.6380016380015878,2.4956070795276166,4.597910372548937,-0.3915095333343866,4.72094319256208,0.09629748186091869,-0.016276362023348662,0.9779906818514735,2.7405647768292467,0.4635210775801486
2002-04-01,1.4886480634307118,-0.13635754489410332,0.5563967817971304,-2.0071161036924168,1.8485810676882444,0.005726214160720107,11.70662149041942,0.14769105900198523,-0.12517335202513902,-1.3153528777243269,-0.06988384093702808,-0.184817923855743,13.38669658968467,7.354921158797654,-2.245799720551943,9.208044068984037,4.941874793202303,6.011561444686077,1.0750927241373867,11.449069206537594,0.14425928366667326,1.3698597986506835,2.6840109808220363,1.9200000000000337,-0.864955324994665
2002-07-01,-0.11534505059528162,0.772659599102715,2.8730933113380437,-0.24677262209230966,0.90943393822532,0.6471852333287473,10.99732138455557,-0.682773289940582,-0.14184915971044001,2.7025055822983433,-1.1534400670885363,0.7772136473308766,10.82358650812912,-4.093053384089241,-1.3072886152120577,5.917189346423023,3.63052443136746,7.409139237763406,1.1229558788592733,2.5760659874846734,0.5721973202473744,1.6015690034365815,0.003418343257216646,2.781116761699297,0.11564726396784399
2002-10-01,-0.15759633544930665,3.895493993108914,4.87290826963726,1.8725213676179833,0.46635405656163664,-0.2023302467240806,9.013800928955794,-0.26881973493893013,-0.7341817915246991,0.005312151602892705,2.441605214877504,0.6672371847503467,6.075061849223847,-0.7003547892130947,0.8069549361301657,4.620459160468555,7.9373804262709635,10.579695151389814,-1.4871532598789245,0.5366622773366064,0.27010082553372,-1.4045245992823263,1.6852639144191952,1.2833480098773868,0.7220119369976796
2003-01-01,0.3874185278540046,1.8144105324965965,3.8916364682340365,1.1790937035652593,0.7875684423202166,0.30737620963168233,14.641393089669,-0.27248194305277673,0.7378522073219317,0.2546046736657181,-1.7973806089414464,0.1320978333550927,2.230069167353324,-6.614653481369543,-0.1865734939817166,22.806412412996362,7.7590734593901125,8.327449688702904,-0.26644729308818665,5.778593638074241,0.8219918459751246,-0.020338470499463135,1.51707526976086,0.15584756761928797,-0.5940180371479516
2003-04-01,-0.15120821259755668,0.55590947400615,3.3759033809689636,-0.6112629907143264,-0.13356684968170232,0.007141016515969989,10.02480531782099,0.44767255557455327,-0.8684430459032472,-0.34337155899672633,0.5208587628336333,0.4982620731855873,0.08436212501737665,-3.4171881207161796,-1.00671300827012,1.173916041685975,4.429004101563202,7.870733987844769,-1.6238794320807852,-1.8331076190812565,0.98775066329621,-2.7876468201367772,1.3049863107861752,-0.8055329687391279,0.6685593074923183
